Genome	C04M3AN_ss Relative Abundance (%)	C04M3CO_ss Relative Abundance (%)	C04M3CR_ss Relative Abundance (%)	C04M3DR_ss Relative Abundance (%)	C04M3DT_ss Relative Abundance (%)	C04M3F1_ss Relative Abundance (%)	C04M3F2_ss Relative Abundance (%)	C04M3F3_ss Relative Abundance (%)	C04M3HR_ss Relative Abundance (%)	C04M3HT_ss Relative Abundance (%)	C04M3OP_ss Relative Abundance (%)	C13F5AN_ss Relative Abundance (%)	C13F5CO_ss Relative Abundance (%)	C13F5CR_ss Relative Abundance (%)	C13F5DR_ss Relative Abundance (%)	C13F5DT_ss Relative Abundance (%)	C13F5F1_ss Relative Abundance (%)	C13F5F2_ss Relative Abundance (%)	C13F5F3_ss Relative Abundance (%)	C13F5HR_ss Relative Abundance (%)	C13F5HT_ss Relative Abundance (%)	C13F5OP_ss Relative Abundance (%)
unmapped	14.7362175	15.640765	15.939772	14.706779	13.361817	14.52291	15.819687	13.611507	16.433674	16.335123	15.009928	12.112975	11.325348	12.8833475	11.542225	11.380166	12.469691	12.027001	14.082569	12.578302	11.018759	13.016963
MGBC000001	0.028655669	0.21934363	0.16449781	0.11480888	0.043921288	0.1141549	0.14508349	0.019940475	0.11676601	0.1280048	0.14874099	0.0644098	0.12696505	0.07384722	0.13524514	0.031961896	0.1620945	0.08834638	0.016225051	0.075121336	0.06283159	0.1411389
MGBC000003	0.013430252	0.063100934	0.04993999	0.06681635	0.020743256	0.06833683	0.08836288	0.010178646	0.057585936	0.04832767	0.03906932	0.020268098	0.045097515	0.02596222	0.053589392	0.012680848	0.055006843	0.034942217	0.0069559603	0.026032083	0.023770569	0.06418901
MGBC000011	0.091221794	0.027823217	0.04105072	0.049876366	0.074475445	0.040239587	0.035368595	0.099113874	0.03198039	0.030264655	0.046503976	0.055262342	0.024054993	0.062553026	0.048701204	0.08320144	0.028116392	0.030238746	0.077679984	0.042936854	0.049038433	0.026617646
MGBC000013	0	0	0	0	0.000024549112	0	0	0	0.000013293832	0	0	0	0	0.000012295009	0.000026323012	0	0	0	0	0.000012304141	0.000012347715	0
MGBC000018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGBC000019	0	0.000005746435	0	0	0.00004285769	0.0000056231634	0	0.000027793496	0	0.0000055897817	0	0	0	0	0.000043946176	0	0.000005152545	0	0	0	0	0
MGBC000020	0.00000937844	0	0.0000054789607	0.000005329419	0.0002065154	0.0000056844647	0	0.00016635998	0	0.0000055377045	0.00001065088	0	0	0	0.0002773911	0.0000086141	0.00001274399	0	0.00000839071	0	0	0
MGBC000029	0.0013354957	0.0016810333	0.0016944965	0.0026210214	0.001765639	0.0022627537	0.0021709632	0.00088613597	0.0026803901	0.0011173479	0.0027776004	0.0006948668	0.0007546012	0.0004308223	0.0016578705	0.000538962	0.0014243963	0.0006388767	0.0004479608	0.0008301522	0.00064589124	0.0024611058
MGBC000041	0.012874213	0.06470934	0.054186802	0.070510715	0.020274304	0.07433677	0.09598102	0.009167078	0.05476292	0.052824188	0.046220098	0.017321363	0.037546195	0.020163612	0.063630976	0.012706949	0.047354523	0.029013835	0.0100214565	0.021647042	0.016941	0.06841664
MGBC000042	0.0068286746	0.015265558	0.014711912	0.0125591615	0.007829597	0.010529103	0.015822742	0.005545571	0.009596843	0.00977525	0.007992165	0.003181094	0.010836799	0.005233723	0.0071832007	0.0023109277	0.0054372028	0.004438702	0.003066765	0.0086923	0.005788643	0.013670148
MGBC000050	0.0018132124	0.0027513313	0.0017996107	0.00092589087	0.0020319473	0.0012213334	0.0007432907	0.00079335837	0.0012949358	0.0014050917	0.0030960764	0.0047437614	0.0016001371	0.0006866799	0.000370584	0.00049085345	0.0018761051	0.004429663	0.0017290079	0.00089194207	0.00041539827	0.000010320479
MGBC000066	0.00066488027	0.0010093923	0.0012696385	0.001979838	0.0013571082	0.00054712564	0.000641673	0.0012018825	0.0011002785	0.00079898984	0.0031680278	0.0029804124	0.0022680368	0.0015963485	0.0054045706	0.0038983054	0.0017168978	0.0035777667	0.0062421747	0.0010019438	0.0011552924	0.00063794345
MGBC000077	0.09130402	0.02908364	0.042693082	0.053377595	0.07621808	0.040440343	0.034968548	0.102147065	0.027314164	0.028186094	0.048267167	0.06357612	0.029955842	0.07792251	0.06733035	0.10974232	0.03460651	0.03544916	0.08137984	0.039226066	0.056361992	0.021851037
MGBC000078	0.01755493	0.07816339	0.061002135	0.06014011	0.023511939	0.081717245	0.08317699	0.0125660235	0.070379905	0.07974763	0.05262367	0.022037046	0.059365116	0.042243596	0.055042222	0.015514113	0.049978267	0.031380117	0.008343822	0.02842069	0.023088856	0.058744304
MGBC000080	0.034476895	0.16367568	0.12959892	0.11390421	0.06307724	0.13833655	0.114974044	0.018147493	0.13011181	0.11104235	0.10748348	0.04647283	0.12208119	0.06879178	0.13385949	0.039590396	0.16102365	0.09433559	0.024141077	0.05737994	0.047698367	0.1270712
MGBC000081	0.000060148916	0.0006506936	0.00017103908	0.00012842947	0.000204337	0.000020753261	0.000030979227	0.000034173223	0.00019359175	0.0002257616	0.0001271592	0.000007986212	0.00035086606	0.000033682594	0	0.00007862246	0.00001926991	0.00002101435	0.000007658355	0.0021026246	0.0011065371	0
MGBC000082	0	0	0.000016745998	0.000016622891	0.000014815346	0	0	0	0.000016919697	0.00003396465	0.00003322096	0	0	0	0	0	0	0.000015455855	0	0	0	0
MGBC000083	0.01161394	0.08681162	0.07015679	0.059575472	0.01182383	0.030776836	0.04364956	0.006085317	0.07022896	0.045125484	0.065226436	0.011367993	0.051352486	0.017843574	0.043993574	0.01058788	0.02103783	0.019454762	0.0051839384	0.017725373	0.009628614	0.020779515
MGBC000089	0.017494794	0.27618834	0.16671416	0.09791503	0.041913707	0.084304035	0.09343725	0.011990226	0.13091725	0.11788194	0.09087055	0.027030213	0.09585597	0.039832886	0.11635348	0.023763783	0.0582913	0.05423684	0.010995803	0.036980126	0.04372159	0.057835184
MGBC000094	0.012831577	0.060747176	0.049964458	0.046368334	0.017077096	0.046653286	0.055492774	0.0066957916	0.045262713	0.03973762	0.038491346	0.023901328	0.057093516	0.0324024	0.042016886	0.013049409	0.05756049	0.037391827	0.008510394	0.032972146	0.024798699	0.057242237
MGBC000100	0.004636094	0.034290574	0.029312788	0.016708722	0.008089779	0.021771923	0.024587842	0.0031418542	0.025275243	0.027246851	0.022780828	0.010835903	0.033438586	0.01434048	0.020159092	0.007554684	0.033196364	0.021273594	0.0035448093	0.013319241	0.014152702	0.025047764
MGBC000110	0.014349035	0.08158557	0.059529483	0.06812345	0.024024468	0.07454433	0.10090538	0.009725855	0.061295606	0.06269002	0.052385192	0.030119427	0.06565341	0.037337784	0.060193114	0.02139796	0.08868924	0.053621437	0.012350086	0.039912157	0.028601194	0.086196035
MGBC000111	0.06219815	0.11039789	0.53479713	0.11440814	0.18859906	0.093375735	0.12874664	0.033072956	0.118859	0.38505706	0.06461621	0.024880374	0.06628354	0.03747943	0.074546695	0.016502595	0.05732648	0.03941445	0.009852175	0.028726256	0.025392534	0.070493534
MGBC000112	0.010823187	0.05826207	0.045963407	0.045953553	0.013903671	0.048715256	0.05668569	0.006861005	0.04776943	0.051388144	0.042702034	0.01439779	0.038857054	0.023236575	0.038072366	0.010423873	0.03328289	0.022086563	0.0060752975	0.02568135	0.016018331	0.0490262
MGBC000113	0.091146894	0.368073	0.27597177	0.36932334	0.12824085	0.26497912	0.3512073	0.124920726	0.25476488	0.17125608	0.09506016	0.044603195	0.080766745	0.059719287	0.12201739	0.028101042	0.10363527	0.065011516	0.0152076455	0.046475995	0.036453012	0.10443276
MGBC000116	0.024991052	0.101701505	0.07778178	0.09469408	0.033861607	0.09959868	0.10968597	0.01614933	0.12030294	0.0915797	0.08172994	0.18774317	1.1274977	0.32223532	0.69900835	0.16796829	1.2028829	1.1933507	0.08299691	0.44506252	0.20105192	0.10306431
MGBC000118	0.022862881	0.11694769	0.101642124	0.11366407	0.03207583	0.10351562	0.11511595	0.014224056	0.12705538	0.11317259	0.06314799	0.030415168	0.08623477	0.04805085	0.07719304	0.024750536	0.05941326	0.050855268	0.01250475	0.05926282	0.03318079	0.13175662
MGBC000120	0.013528357	0.079105906	0.06673541	0.052178044	0.020294033	0.05676304	0.069732234	0.008492343	0.05945628	0.053739306	0.051012393	0.031155676	0.10200567	0.039961427	0.05845613	0.01628715	0.07840401	0.05349389	0.0103305355	0.045487132	0.03270118	0.06736761
MGBC000134	0.000018346442	0	0.000021221433	0.000072284165	0.000028062901	0	0	0	0	0	0.000026739064	0.000014820003	0	0	0.000020060472	0.000016738872	0	0	0.000029348603	0.000016386144	0	0.000010276979
MGBC000135	0.014130448	0.07802728	0.052277938	0.04551295	0.018850159	0.03890313	0.05510945	0.0057107634	0.04977875	0.046141572	0.0470085	0.03839372	0.10649371	0.05385615	0.06273369	0.0215739	0.100277565	0.06858312	0.014519328	0.0649423	0.04292393	0.092781946
MGBC000137	0.0137538295	0.054494582	0.048427917	0.05692264	0.016523212	0.057145987	0.06394233	0.006647708	0.04407084	0.04692822	0.04764466	0.023182726	0.048698343	0.027552584	0.052460805	0.014389173	0.048494663	0.032701466	0.009057573	0.027477082	0.020456586	0.060776316
MGBC000139	0.000009957605	0	0.000011713237	0	0	0.000011670793	0	0.000009888556	0	0	0	0	0	0	0	0.000012840257	0	0	0	0.000009607733	0	0.000009296452
MGBC000141	0.0017749646	0.008045966	0.00891881	0.00908573	0.0027861209	0.009908572	0.010173003	0.00123818	0.010379369	0.010254169	0.0042190147	0.0016658171	0.012394132	0.0033877455	0.007255504	0.0015682647	0.0030955044	0.0030587288	0.00073786353	0.0044595236	0.0015117396	0.007982709
MGBC000146	0.014958948	0.07414928	0.05433385	0.059668608	0.019648368	0.055548687	0.07708358	0.0066722427	0.047291864	0.04712375	0.044802587	0.04578006	0.13029099	0.0573599	0.058314346	0.022870986	0.11066498	0.084020175	0.013819251	0.085360594	0.04506654	0.11804551
MGBC000147	0.028665127	0.0063329586	0.01962814	0.03404745	0.06875007	0.022907233	0.025027432	0.020931488	0.041558553	0.012056017	0.013284427	0.00056109106	0.0012067065	0.00082590355	0.0019117796	0.0005167722	0.001937127	0.0014792234	0.0004742593	0.0008927827	0.00083112204	0.0015915261
MGBC000151	0.0076968456	0.03424645	0.02610019	0.026729338	0.0089634955	0.028290877	0.040075906	0.0026963535	0.024695804	0.023603188	0.014822637	0.013400983	0.040583808	0.023060769	0.02004437	0.0067675104	0.034205265	0.023276024	0.004184266	0.026529953	0.019010495	0.04786191
MGBC000153	0.015593771	0.067903906	0.048887335	0.05756551	0.015132081	0.050736394	0.06474946	0.0040815193	0.048148423	0.046901345	0.038166404	0.044507846	0.16064826	0.06513297	0.055164315	0.020431973	0.14930701	0.07756619	0.0099134855	0.07665287	0.07345761	0.17697287
