sample	sample_time	date
C04M3OP 	C04M3_1	 2/10/2020
C04M3HT 	C04M3_2	 19/10/2020
C04M3HR 	C04M3_3	 25/10/2020
C04M3CO 	C04M3_4	 4/11/2020
C04M3CR 	C04M3_5	 10/11/2020
C04M3DT 	C04M3_6	 17/11/2020
C04M3DR 	C04M3_7	 23/11/2020
C04M3AN 	C04M3_8	 30/11/2020
C04M3F1 	C04M3_9	 5/12/2020
C04M3F2 	C04M3_10	 8/12/2020
C04M3F3 	C04M3_11	 11/12/2020
C13F5OP 	C13F5_1	 2/10/2020
C13F5HT 	C13F5_2	 19/10/2020
C13F5HR 	C13F5_3	 25/10/2020
C13F5CO 	C13F5_4	 4/11/2020
C13F5CR 	C13F5_5	 10/11/2020
C13F5DT 	C13F5_6	 17/11/2020
C13F5DR 	C13F5_7	 23/11/2020
C13F5AN 	C13F5_8	 30/11/2020
C13F5F1 	C13F5_9	 5/12/2020
C13F5F2 	C13F5_10	 8/12/2020
C13F5F3 	C13F5_11	 11/12/2020
